gene_name	chr	tss	tse	gene_type	pLI	familyMemberCount	ncRVIS	ncGERP	RVIS_percentile	slr_dnds	GDI	gene_age
MAPK7	17	19281773	19286857	protein_coding	0.1641408847	0	-0.2944288571	-0.399904958	4.8891247936	0.07765	121.12067	0
FAM3A	X	153734489	153744566	protein_coding	0.8206394077	3	-0.1086055735	-0.017506499	50.0117952347	0.05375	9.33497	0
MUC1	1	155158299	155162706	protein_coding	0.6573716517	0	-0.1086055735	0.3026648	50.0117952347	0.7512	124.93626	2
IL6	7	22766765	22771621	protein_coding	0.6383342692	0	-0.5819556763	0.993105229	85.9813635291	0.7483	133.86335	3
BIRC3	11	102188180	102210135	protein_coding	0.8355024907	2	-0.7606890242	0.024001677	20.7006369427	0.1769	76.6367	0
PRKACB	1	84630322	84671122	protein_coding	0.8415457416	26	0.2287433513	1.93313219	25.1474404341	0.06545	21.38815	0
KAT8	16	31128984	31142714	protein_coding	0.8687316409	0	0.0373929458	0.397713523	35.4210898797	0.1443	162.71582	0
LYZL2	10	30900707	30918647	protein_coding	2.106128728327E-05	8	0.1563056484	-0.333102247	60.3149327672	0.2419	217.1399	8
VPS28	8	145648983	145653946	protein_coding	0.0926884399	0	-0.1086055735	-1.078077837	26.5333805143	0.05208	18.89106	0
BCKDHB	6	80816343	81055987	protein_coding	9.83529833753601E-06	1	3.4299784499	-0.265427618	24.0033026657	0.08534	37.41729	0
ZMYND8	20	45926869	45985633	protein_coding	0.9999907105	1	-0.1911789458	4.463153226	3.9808917197	0.07772	1935.06052	0
ARHGEF25	12	58005217	58011028	protein_coding	6.63190653668526E-05	0	-0.1400682406	1.223274552	52.14673272	0.2054	191.33923	0
FLT4	5	180034752	180076624	protein_coding	0.9999480619	3	1.0640001476	-0.713969636	85.5331446096	0.09044	835.41804	0
CD164	6	109687716	109703762	protein_coding	0.3449857804	0	1.2590199357	1.650676299	46.4850200519	0.8368	24.70973	0
RAB8B	15	63481727	63559973	protein_coding	0.0368616611	87	-1.0289395081	1.810365339	49.3866477943	0.01927	6.15812	1
HAO2	1	119911398	119936753	protein_coding	1.83790966392508E-08	1	-0.1159307227	-0.749177387	38.9832507667	0.2648	43.06465	0
SMPD4	2	130908964	130939330	protein_coding	0.0615525559	0	-0.1086055735	-1.011131332	4.3052606747	0.1985	224.4432	0
CAP1	1	40506254	40538321	protein_coding	0.9562249954	1	-0.5030046353	1.460405538	12.7742392074	0.1076	110.71742	0
CAP2	6	17393735	17558023	protein_coding	0.295727002	1	-1.2701638717	0.763275341	50.2241094598	0.1467	486.9546	1
C1orf61	1	156374054	156399184	protein_coding	0.0932717208	0	-0.1880553287	0.733081275	47.788393489	0.8047	198.58178	4
TBC1D19	4	26585545	26757835	protein_coding	0.0344329878	0	-0.1965341053	1.461908653	35.9872611465	0.03987	90.32303	0
SETD4	21	37415981	37432662	protein_coding	8.93111557778231E-11	0	-0.548781426	-0.803735496	40.3573956122	0.264	195.14433	0
PRDM2	1	14075875	14114574	protein_coding	0.9971682895	0	1.1280788546	0.141233244	19.8100967209	0.1543	615.77007	0
KLHDC9	1	161068180	161070138	protein_coding	3.13928009888138E-06	0	0.1100021006	-0.242440588	86.565227648	0.2601	450.73191	1
TUBB3	16	89989686	90002505	protein_coding	0.9498738619	28	0.1432653103	-0.443856019	13.3286152394	0.003545	8.39665	0
ZCCHC3	20	278203	280963	protein_coding	0.0475577315	0	-0.1581304762	0.901814362	50.0117952347	0.03831	23.74994	1
SULT1A2	16	28603263	28607801	protein_coding	8.75341451106275E-09	11	1.084538666	-0.903585368	87.9865534324	0.1914	2869.06243	2
BRMS1	11	66104803	66112582	protein_coding	0.0007082662	1	-0.5931856122	0.070929971	43.5715970748	0.07102	1191.74841	0
BAZ1A	14	35221936	35344853	protein_coding	0.9999999442	0	0.0484749664	2.709435971	16.071007313	0.171	635.33409	0
CCDC42	17	8633245	8648154	protein_coding	9.93064866555349E-06	1	0.6528370866	-0.498851647	86.2113706063	0.1296	892.69554	2
CCDC81	11	86085777	86134151	protein_coding	0.000000001	0	0.3776539085	-0.370460123	92.5925925926	0.5542	889.04414	1
UBR7	14	93673400	93695561	protein_coding	0.7267142391	0	0.4338150103	0.518691963	55.2193913659	0.1841	312.62321	0
RNF157	17	74138533	74236390	protein_coding	0.0323113471	1	-0.4948205494	-0.20996358	71.6206652512	0.1038	274.86653	0
ENO3	17	4854383	4860426	protein_coding	2.49152466828287E-08	1	0.1466988457	0.919962641	22.6468506723	0.03879	3157.89688	0
SLC11A2	12	51379774	51403053	protein_coding	0.0166192826	1	-0.3598019279	0.592079068	72.5996697334	0.1891	138.02468	0
PRDM13	6	100054649	100063454	protein_coding	0.0475577315	0	-0.6474416913	4.370745208	50.0117952347	0.1351	3105.10566	0
CD58	1	117061321	117113715	protein_coding	0.2574516188	0	-0.1086055735	-1.035344746	83.1387119604	0.8437	82.3264	5
PGAP2	11	3829765	3847601	protein_coding	0.1204667529	0	-0.2084882374	0.619587749	33.2035857514	0.06576	198.58178	0
AGAP3	7	150811764	150820725	protein_coding	0.9787018473	2	-0.1086055735	0.821063187	8.539749941	0.03342	95.08252	0
SYNDIG1L	14	74872595	74892805	protein_coding	0.0030657908	1	0.7870030646	0.329805357	81.994574192	0.1443	795.52044	0
SYCE2	19	13009893	13030086	protein_coding	0.7478858606	0	-0.1887775434	-0.678685854	79.0398678934	0.4015	13.21995	0
GLRA2	X	14547419	14749933	protein_coding	0.8725961089	19	-0.424358869	3.175064812	46.4850200519	0.03118	12.68155	1
GTF3C5	9	135906061	135933890	protein_coding	0.0015166512	0	-0.5240893614	-1.185226955	6.8294409059	0.08778	86.1619	0
TTC21A	3	39149151	39180394	protein_coding	8.08823127777964E-15	1	-0.1086055735	-0.447572075	84.9492804907	0.4209	8323.31002	0
TRIOBP	22	38142240	38155963	protein_coding	1.59492724364477E-09	0	0.6477472083	-0.007995533	99.1802311866	0.38	11232.59701	0
DLGAP4	20	35090185	35157040	protein_coding	0.984636056	3	-0.5154813373	1.41588988	14.2604387827	0.03936	431.55028	0
MRGPRF	11	68771861	68780850	protein_coding	0.3464447035	17	-0.6285373932	-0.472569479	38.8181174805	0.04564	2327.15872	3
MLF1	3	158288952	158324249	protein_coding	6.44510508056028E-07	1	-0.0022342737	0.285751116	80.7324840764	0.4994	318.32634	0
CCDC77	12	510740	551806	protein_coding	2.21758249508575E-14	0	0.0899943622	-0.524750859	83.47487615	0.4369	1387.09143	0
C9orf152	9	112961845	112970413	protein_coding	0.0039314603	0	0.7333558412	-0.593347893	41.6430761972	0.6633	113.35629	5
KNOP1	16	19717673	19729492	protein_coding	0.0001454378	1	-1.2083466934	-0.367374249	57.4074074074	0.1443	384.55815	0
COA6	1	234509446	234519795	protein_coding	0.0798389548	0	-0.3173741642	-0.539216267	74.9528190611	0.1443	27.52947	0
C16orf86	16	67700716	67702661	protein_coding	0.6086184651	0	-0.1086055735	-0.611961485	31.457891012	0.4529	37.55182	2
ZKSCAN2	16	25247321	25268855	protein_coding	0.0327782	2	-0.1930580528	0.038378642	73.7379098844	0.2768	3138.88928	3
TCEAL5	X	102528617	102531797	protein_coding	0.6490666009	2	-0.5970428132	0.820776487	66.5723047889	0.2758	730.81358	6
SATL1	X	84347291	84363974	protein_coding	2.3127164475273E-12	0	-0.1162497161	0.878345989	95.7360226469	0.4607	64.655	4
DEFB113	6	49936389	49937338	protein_coding	0.0005083961	0	-0.1224690599	0.472432301	42.875678226	0.6029	2.87291	5
ART5	11	3659735	3663546	protein_coding	0.0710482501	2	2.1745313474	-0.230692457	98.0537862703	0.3123	1119.68962	1
ADAD1	4	123300594	123350947	protein_coding	0.9569235989	3	-0.4357298664	-0.912852269	37.3201226704	0.1606	57.5578	0
C1QC	1	22970117	22974603	protein_coding	0.015210762	10	0.7194875469	0.095337465	18.4418494928	0.2127	26.35597	0
CDC27	17	45195062	45266678	protein_coding	0.2723104661	0	-0.7871432564	3.503570645	44.892663364	0.05692	13.5224	0
OLFM1	9	137967102	137989952	protein_coding	0.9116524944	5	-0.1086055735	0.654113726	17.745930644	0.0112	14.88235	0
RGS22	8	100973165	101117854	protein_coding	3.27087679371852E-16	0	-0.1086055735	-0.465514455	92.3684831328	0.369	603.44916	0
APOBEC3A	22	39353526	39359188	protein_coding	0.1960070561	6	-0.0717883605	-0.421341003	75.1238499646	0.8347	17.04918	0
ACBD5	10	27484142	27529808	protein_coding	0.1606389795	0	-0.7381419975	1.251779822	19.7275300778	0.2007	826.14153	0
NUF2	1	163291722	163325553	protein_coding	0.0001952415	0	-0.9080355963	-0.727990125	48.6907289455	0.2109	1402.19748	2
DGKB	7	14215605	14881075	protein_coding	0.4285885872	3	0.7947715805	1.275141216	9.613116301	0.0671	366.37055	0
ZNF781	19	38158649	38183216	protein_coding	5.35383227761015E-05	1	-0.2633067063	-0.148602335	60.3149327672	1.722	330.24448	0
SPRED1	15	38545051	38649450	protein_coding	0.9520927886	1	-1.0090389576	1.9743848	25.3656522765	0.1629	47.14387	0
ZNF383	19	37717365	37734574	protein_coding	2.69845489039405E-07	213	-0.7855584085	-0.319788191	27.6893135173	0.1723	17.44204	5
ZNF567	19	37180301	37212238	protein_coding	1.00360536676287E-06	1	0.1771913081	0.162013863	37.3201226704	0.1151	197.67313	5
SYNE3	14	95883830	95942173	protein_coding	3.76315798715449E-14	0	0.287799127	-1.041341147	92.6633640009	0.1443	3773.61165	0
ZNF398	7	148844559	148880118	protein_coding	0.9412944868	1	-0.1086055735	-0.287264827	18.9018636471	0.118	485.03066	4
NXNL2	9	91150015	91159462	protein_coding	0.4760692377	1	-0.1086055735	-1.031435758	73.9738145789	0.1054	151.58957	0
DNMT3A	2	25455829	25475184	protein_coding	1.22686692088883E-40	1	-0.6686197939	2.541990271	6.4814814815	0.0405	41.83604	0
RPS18	6	33239851	33244281	protein_coding	0.9512391422	4	-0.1582632817	0.01452805	57.9971691437	0	1.20345	11
XRCC4	5	82373316	82649579	protein_coding	0.004403526	0	-0.2861583241	0.857202647	93.7662184477	0.4559	2475.23473	1
MRGPRX4	11	18194383	18195827	protein_coding	0.0015820259	27	0.2100125537	-0.968516607	97.1809389007	0.4883	1005.84423	10
COPS3	17	17149937	17184012	protein_coding	0.9879679892	0	-0.3605200311	1.077686911	20.2642132578	0.006934	14.78144	0
CDS2	20	5107406	5178533	protein_coding	0.0002014052	1	-0.4140040611	-0.415949849	31.6878980892	0.05336	624.29254	0
GBP2	1	89571815	89591842	protein_coding	5.65933060435514E-05	6	-0.4095385105	-1.275547049	90.1450813871	0.2896	53.19341	4
COL5A1	9	137533650	137736688	protein_coding	1	12	0.8091072137	-0.248404654	0.5248879453	0.0826	863.84203	0
SHOX2	3	157813799	157823952	protein_coding	0.0618251612	2	0.3824889889	1.565949079	26.2326020288	0.02968	17.09768	0
SHB	9	37915894	38069210	protein_coding	0.9142505951	0	-0.1086055735	-0.017506499	50.0117952347	0.03049	230.15239	1
RGS16	1	182567757	182573548	protein_coding	0.007252758	5	-1.0372949521	-0.528800368	75.1238499646	0.1499	41.89157	0
PEG3	19	57321444	57336374	protein_coding	0.0038208407	3	-0.0968608134	0.762938537	95.4529370134	0.1443	1640.78919	0
PTPRD	9	8314245	8733946	protein_coding	0.9999999751	3	-0.5738337831	3.35325779	0.4836046237	0.0344	1565.5627	0
