gene_name	sample_index	chr	pathogenic_flag
AGRN	1	1	0
TNFRSF18	1	1	0
CALML6	1	1	0
MORN1	1	1	0
ZBTB48	1	1	0
PER3	1	1	0
UTS2	1	1	0
LZIC	1	1	0
MASP2	1	1	0
SRM	1	1	0
ANGPTL7	1	1	0
FBXO6	1	1	0
PRAMEF12	1	1	0
PRAMEF8	1	1	0
PRAMEF6	1	1	0
PRAMEF20	1	1	0
EFHD2	1	1	0
CTRC	1	1	0
CASP9	1	1	0
HSPB7	1	1	0
FBXO42	1	1	0
ATP13A2	1	1	0
ACTL8	1	1	0
EMC1	1	1	0
PLA2G5	1	1	0
CAMK2N1	1	1	0
HP1BP3	1	1	0
USP48	1	1	0
C1orf234	1	1	0
STPG1	1	1	0
NR0B2	1	1	0
FAM46B	1	1	0
FGR	1	1	0
SERINC2	1	1	0
ZBTB8B	1	1	0
FNDC5	1	1	0
C1orf94	1	1	0
GJB5	1	1	0
GJB3	1	1	0
THRAP3	1	1	0
YRDC	1	1	0
RHBDL2	1	1	0
OXCT2	1	1	0
ZFP69	1	1	0
EXO5	1	1	0
ZMYND12	1	1	0
C1orf50	1	1	0
DPH2	1	1	0
DMAP1	1	1	0
TMEM53	1	1	0
HPDL	1	1	0
MUTYH	1	1	0
TOE1	1	1	0
IPP	1	1	0
PIK3R3	1	1	0
POMGNT1	1	1	0
DMBX1	1	1	0
MKNK1	1	1	0
MOB3C	1	1	0
CYP4X1	1	1	0
TAL1	1	1	0
DMRTA2	1	1	0
ZFYVE9	1	1	0
TMEM59	1	1	0
CDCP2	1	1	0
DHCR24	1	1	0
PCSK9	1	1	1
PRKAA2	1	1	0
C8A	1	1	0
C8B	1	1	0
FGGY	1	1	0
FOXD3	1	1	0
PDE4B	1	1	0
GNG12	1	1	0
TNNI3K	1	1	0
ZZZ3	1	1	0
DNAJB4	1	1	0
PTGFR	1	1	0
IFI44L	1	1	0
DNASE2B	1	1	0
RBMXL1	1	1	0
GBP3	1	1	0
GBP5	1	1	0
LRRC8C	1	1	0
CDC7	1	1	0
RPAP2	1	1	0
FAM69A	1	1	0
DPYD	1	1	0
CDC14A	1	1	0
OLFM3	1	1	0
AMY1C	1	1	0
SLC25A24	1	1	0
NBPF6	1	1	0
SYPL2	1	1	0
GNAI3	1	1	0
AMPD2	1	1	0
STRIP1	1	1	0
SLC6A17	1	1	0
RHOC	1	1	0
NGF	1	1	0
IGSF3	1	1	0
C1orf137	1	1	0
CD101	1	1	0
WARS2	1	1	0
NOTCH2	1	1	0
PPIAL4A	1	1	0
ANKRD35	1	1	0
NUDT17	1	1	0
CHD1L	1	1	0
MTMR11	1	1	0
PLEKHO1	1	1	0
GOLPH3L	1	1	0
C2CD4D	1	1	0
HRNR	1	1	0
LCE3B	1	1	0
LCE2B	1	1	0
SMCP	1	1	0
SPRR4	1	1	0
SPRR2B	1	1	0
PGLYRP3	1	1	0
CHTOP	1	1	0
UBAP2L	1	1	0
TDRD10	1	1	0
PBXIP1	1	1	0
PYGO2	1	1	0
DCST1	1	1	0
FAM189B	1	1	0
FDPS	1	1	0
ASH1L	1	1	0
YY1AP1	1	1	0
RIT1	1	1	0
RXFP4	1	1	0
SSR2	1	1	0
LMNA	1	1	1
BGLAP	1	1	0
CCT3	1	1	0
CD1E	1	1	0
OR6P1	1	1	0
SLAMF9	1	1	0
PIGM	1	1	1
KCNJ10	1	1	0
COPA	1	1	0
ITLN2	1	1	0
ADAMTS4	1	1	0
FCRLB	1	1	0
C1orf111	1	1	0
SH2D1B	1	1	0
UHMK1	1	1	0
DDR2	1	1	0
MPC2	1	1	0
GPR161	1	1	0
CCDC181	1	1	0
SELE	1	1	0
METTL11B	1	1	0
GORAB	1	1	0
FMO4	1	1	0
PRDX6	1	1	0
CACYBP	1	1	0
ASTN1	1	1	0
C1orf220	1	1	0
ZNF648	1	1	0
NMNAT2	1	1	0
FAM129A	1	1	0
CFHR3	1	1	0
CFHR5	1	1	0
GPR25	1	1	0
C1orf106	1	1	0
ARL8A	1	1	0
PTPN7	1	1	0
ADIPOR1	1	1	0
PLEKHA6	1	1	0
MDM4	1	1	0
NUAK2	1	1	0
CDK18	1	1	0
ELK4	1	1	0
NUCKS1	1	1	0
C1orf186	1	1	0
IL10	1	1	0
IL19	1	1	0
PIGR	1	1	0
C4BPA	1	1	0
